MES_CFD,SEM_CFD,F_CFD,C_CFD
1,1,01/01/2020,0
1,1,02/01/2020,0
1,1,03/01/2020,0
1,1,04/01/2020,0
1,1,05/01/2020,0
1,2,06/01/2020,0
1,2,07/01/2020,0
1,2,08/01/2020,0
1,2,09/01/2020,0
1,2,10/01/2020,0
1,2,11/01/2020,0
1,2,12/01/2020,0
1,3,13/01/2020,0
1,3,14/01/2020,0
1,3,15/01/2020,0
1,3,16/01/2020,0
1,3,17/01/2020,0
1,3,18/01/2020,0
1,3,19/01/2020,0
1,4,20/01/2020,0
1,4,21/01/2020,0
1,4,22/01/2020,0
1,4,23/01/2020,0
1,4,24/01/2020,0
1,4,25/01/2020,0
1,4,26/01/2020,0
1,5,27/01/2020,0
1,5,28/01/2020,0
1,5,29/01/2020,0
1,5,30/01/2020,0
1,5,31/01/2020,0
2,5,01/02/2020,0
2,5,02/02/2020,0
2,6,03/02/2020,0
2,6,04/02/2020,0
2,6,05/02/2020,0
2,6,06/02/2020,0
2,6,07/02/2020,0
2,6,08/02/2020,0
2,6,09/02/2020,0
2,7,10/02/2020,0
2,7,11/02/2020,0
2,7,12/02/2020,0
2,7,13/02/2020,0
2,7,14/02/2020,0
2,7,15/02/2020,0
2,7,16/02/2020,0
2,8,17/02/2020,0
2,8,18/02/2020,0
2,8,19/02/2020,0
2,8,20/02/2020,0
2,8,21/02/2020,0
2,8,22/02/2020,0
2,8,23/02/2020,0
2,9,24/02/2020,0
2,9,25/02/2020,0
2,9,26/02/2020,0
2,9,27/02/2020,0
2,9,28/02/2020,0
2,9,29/02/2020,0
3,9,01/03/2020,0
3,10,02/03/2020,0
3,10,03/03/2020,0
3,10,04/03/2020,0
3,10,05/03/2020,0
3,10,06/03/2020,0
3,10,07/03/2020,0
3,10,08/03/2020,0
3,11,09/03/2020,0
3,11,10/03/2020,0
3,11,11/03/2020,0
3,11,12/03/2020,0
3,11,13/03/2020,0
3,11,14/03/2020,0
3,11,15/03/2020,1
3,12,16/03/2020,0
3,12,17/03/2020,2
3,12,18/03/2020,1
3,12,19/03/2020,0
3,12,20/03/2020,0
3,12,21/03/2020,0
3,12,22/03/2020,0
3,13,23/03/2020,1
3,13,24/03/2020,2
3,13,25/03/2020,3
3,13,26/03/2020,1
3,13,27/03/2020,3
3,13,28/03/2020,0
3,13,29/03/2020,0
3,14,30/03/2020,0
3,14,31/03/2020,3
4,14,01/04/2020,0
4,14,02/04/2020,0
4,14,03/04/2020,1
4,14,04/04/2020,3
4,14,05/04/2020,1
4,15,06/04/2020,1
4,15,07/04/2020,3
4,15,08/04/2020,1
4,15,09/04/2020,3
4,15,10/04/2020,1
4,15,11/04/2020,2
4,15,12/04/2020,0
4,16,13/04/2020,0
4,16,14/04/2020,0
4,16,15/04/2020,3
4,16,16/04/2020,1
4,16,17/04/2020,2
4,16,18/04/2020,1
4,16,19/04/2020,1
4,17,20/04/2020,0
4,17,21/04/2020,5
4,17,22/04/2020,8
4,17,23/04/2020,2
4,17,24/04/2020,7
4,17,25/04/2020,4
4,17,26/04/2020,6
4,18,27/04/2020,9
4,18,28/04/2020,21
4,18,29/04/2020,10
4,18,30/04/2020,14
5,18,01/05/2020,19
5,18,02/05/2020,16
5,18,03/05/2020,6
5,19,04/05/2020,21
5,19,05/05/2020,30
5,19,06/05/2020,11
5,19,07/05/2020,13
5,19,08/05/2020,22
5,19,09/05/2020,24
5,19,10/05/2020,12
5,20,11/05/2020,37
5,20,12/05/2020,28
5,20,13/05/2020,42
5,20,14/05/2020,21
5,20,15/05/2020,28
5,20,16/05/2020,20
5,20,17/05/2020,31
5,21,18/05/2020,65
5,21,19/05/2020,53
5,21,20/05/2020,62
5,21,21/05/2020,89
5,21,22/05/2020,66
5,21,23/05/2020,63
5,21,24/05/2020,58
5,22,25/05/2020,68
5,22,26/05/2020,106
5,22,27/05/2020,88
5,22,28/05/2020,118
5,22,29/05/2020,105
5,22,30/05/2020,50
5,22,31/05/2020,62
6,23,01/06/2020,83
6,23,02/06/2020,82
6,23,03/06/2020,81
6,23,04/06/2020,78
6,23,05/06/2020,64
6,23,06/06/2020,75
6,23,07/06/2020,47
6,24,08/06/2020,103
6,24,09/06/2020,95
6,24,10/06/2020,90
6,24,11/06/2020,93
6,24,12/06/2020,95
6,24,13/06/2020,90
6,24,14/06/2020,67
6,25,15/06/2020,127
6,25,16/06/2020,109
6,25,17/06/2020,111
6,25,18/06/2020,106
6,25,19/06/2020,146
6,25,20/06/2020,88
6,25,21/06/2020,77
6,26,22/06/2020,158
6,26,23/06/2020,137
6,26,24/06/2020,114
6,26,25/06/2020,172
6,26,26/06/2020,127
6,26,27/06/2020,94
6,26,28/06/2020,111
6,27,29/06/2020,186
6,27,30/06/2020,219
7,27,01/07/2020,228
7,27,02/07/2020,246
7,27,03/07/2020,166
7,27,04/07/2020,123
7,27,05/07/2020,180
7,28,06/07/2020,292
7,28,07/07/2020,238
7,28,08/07/2020,250
7,28,09/07/2020,231
7,28,10/07/2020,211
7,28,11/07/2020,147
7,28,12/07/2020,123
7,29,13/07/2020,325
7,29,14/07/2020,246
7,29,15/07/2020,221
7,29,16/07/2020,217
7,29,17/07/2020,222
7,29,18/07/2020,139
7,29,19/07/2020,133
7,30,20/07/2020,194
7,30,21/07/2020,99
7,30,22/07/2020,111
7,30,23/07/2020,167
7,30,24/07/2020,178
7,30,25/07/2020,135
7,30,26/07/2020,104
7,31,27/07/2020,184
7,31,28/07/2020,206
7,31,29/07/2020,215
7,31,30/07/2020,224
7,31,31/07/2020,175
8,31,01/08/2020,116
8,31,02/08/2020,77
8,32,03/08/2020,159
8,32,04/08/2020,188
8,32,05/08/2020,175
8,32,06/08/2020,152
8,32,07/08/2020,178
8,32,08/08/2020,117
8,32,09/08/2020,80
8,33,10/08/2020,128
8,33,11/08/2020,140
8,33,12/08/2020,129
8,33,13/08/2020,151
8,33,14/08/2020,160
8,33,15/08/2020,80
8,33,16/08/2020,55
8,34,17/08/2020,124
8,34,18/08/2020,111
8,34,19/08/2020,82
8,34,20/08/2020,68
8,34,21/08/2020,105
8,34,22/08/2020,66
8,34,23/08/2020,40
8,35,24/08/2020,85
8,35,25/08/2020,88
8,35,26/08/2020,140
8,35,27/08/2020,97
8,35,28/08/2020,112
8,35,29/08/2020,56
8,35,30/08/2020,32
8,36,31/08/2020,125
9,36,01/09/2020,97
9,36,02/09/2020,52
9,36,03/09/2020,48
9,36,04/09/2020,67
9,36,05/09/2020,67
9,36,06/09/2020,24
9,37,07/09/2020,89
9,37,08/09/2020,101
9,37,09/09/2020,89
9,37,10/09/2020,74
9,37,11/09/2020,72
9,37,12/09/2020,47
9,37,13/09/2020,47
9,38,14/09/2020,104
9,38,15/09/2020,65
9,38,16/09/2020,69
9,38,17/09/2020,87
9,38,18/09/2020,77
9,38,19/09/2020,56
9,38,20/09/2020,20
9,39,21/09/2020,54
